rs_hat,coupling_scale,delta_m_inner_kg,newton_coupled,newton_slaved,n_outer_iters
1.0,0.0,-0.14678627550695908,0.9790733975459607,0.9790733975459607,2
1.0,0.3,-0.14678627550695908,0.9790733975459607,0.9790733975459607,2
1.0,1.0,-0.14678627550695908,0.9790733975459607,0.9790733975459607,2
1.0,3.0,-0.14678627550695908,0.9790733975459607,0.9790733975459607,2
1.0,10.0,-0.10989975212001425,0.9790733975459607,0.9790733975459607,2
2.0,0.0,0.1241409116827556,0.9581382359960379,0.9581382359960374,2
2.0,0.3,0.12413802795168147,0.9581382359960379,0.9581382359960374,2
2.0,1.0,0.12413129898956227,0.9581382359960379,0.9581382359960374,2
2.0,3.0,0.1241120714064941,0.9581382359960379,0.9581382359960374,2
2.0,10.0,0.12404475180059951,0.9581382359960379,0.9581382359960374,2
