xi_m,rs_hat,sigma_par,sigma_perp,sigma_eff,gamma0,newton_1d,newton_eq_2d,newton_pol_2d,newton_pol_over_eq,pole_rho_over_eq,m_inner_2d_kg,rho_pol_over_eq_R1,inner_residual,alpha_g_hydro_ref
5e-08,1.0,0.6,0.6,0.6,550.085945860642,0.9820055263813423,0.9790733975459607,0.9790733975459607,1.0,1.0,10.616135155101322,1.0,0.0,3.517672939590762e-36
5e-08,1.0,0.6,1.2,0.848528137423857,68.76074323258025,0.9820055263813423,0.9790733975459607,0.9790733975459607,1.0,1.0,1.1397253999817678,1.0,0.0,3.517672939590762e-36
5e-08,1.0,1.2,0.6,0.848528137423857,550.085945860642,0.9820055263813423,0.9790733975459607,0.9790733975459607,1.0,1.0,10.616135155101322,1.0,0.0,3.517672939590762e-36
