R_m,R_hat,d_min_m,xi_m,grad_wall,grad_mid,grad_radial,grad_rim,chi_radial,method
1.000000000000e-06,2.000000e+01,1.000000000000e-07,5.000000000000e-08,9.607337e-01,0.000000e+00,1.235728e-02,1.474360e-01,1.839711e-05,thomas_fermi
2.511886431510e-06,5.023773e+01,1.000000000000e-07,5.000000000000e-08,9.607337e-01,0.000000e+00,5.040412e-03,1.383768e-01,1.987233e-06,thomas_fermi
6.309573444802e-06,1.261915e+02,1.000000000000e-07,5.000000000000e-08,9.607337e-01,0.000000e+00,2.026022e-03,1.348162e-01,2.069880e-07,thomas_fermi
1.584893192461e-05,3.169786e+02,1.000000000000e-07,5.000000000000e-08,9.607337e-01,0.000000e+00,8.096632e-04,1.334089e-01,2.125164e-08,thomas_fermi
3.981071705535e-05,7.962143e+02,1.000000000000e-07,5.000000000000e-08,9.607337e-01,0.000000e+00,3.228233e-04,1.328505e-01,2.169494e-09,thomas_fermi
1.000000000000e-04,2.000000e+03,1.000000000000e-07,5.000000000000e-08,9.607337e-01,0.000000e+00,1.285961e-04,1.326285e-01,2.209722e-10,thomas_fermi
