d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m
5.000000e-08,50.000000,1.123109e-01,1.14530292e-02,1.01145303e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.276382e-08,52.763819,1.233420e-01,1.23754941e-02,1.01237549e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.552764e-08,55.527638,1.341713e-01,1.32390686e-02,1.01323907e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.829146e-08,58.291457,1.446948e-01,1.40349386e-02,1.01403494e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
6.105528e-08,61.055276,1.548213e-01,1.47564169e-02,1.01475642e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
6.381910e-08,63.819095,1.644727e-01,1.53988608e-02,1.01539886e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
6.658291e-08,66.582915,1.735840e-01,1.59595242e-02,1.01595952e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
6.934673e-08,69.346734,1.821033e-01,1.64373643e-02,1.01643736e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
7.211055e-08,72.110553,1.899905e-01,1.68328211e-02,1.01683282e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
7.487437e-08,74.874372,1.972168e-01,1.71475868e-02,1.01714759e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
7.763819e-08,77.638191,2.037633e-01,1.73843770e-02,1.01738438e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
8.040201e-08,80.402010,2.096202e-01,1.75467121e-02,1.01754671e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
8.316583e-08,83.165829,2.147853e-01,1.76387184e-02,1.01763872e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
8.592965e-08,85.929648,2.192629e-01,1.76649495e-02,1.01766495e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
8.869347e-08,88.693467,2.230632e-01,1.76302315e-02,1.01763023e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
9.145729e-08,91.457286,2.262007e-01,1.75395315e-02,1.01753953e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
9.422111e-08,94.221106,2.286939e-01,1.73978499e-02,1.01739785e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
9.698492e-08,96.984925,2.305643e-01,1.72101321e-02,1.01721013e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
9.974874e-08,99.748744,2.318357e-01,1.69811997e-02,1.01698120e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.025126e-07,102.512563,2.325337e-01,1.67156990e-02,1.01671570e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.052764e-07,105.276382,2.326855e-01,1.64180621e-02,1.01641806e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.080402e-07,108.040201,2.323191e-01,1.60924809e-02,1.01609248e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.108040e-07,110.804020,2.314629e-01,1.57428912e-02,1.01574289e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.135678e-07,113.567839,2.301462e-01,1.53729636e-02,1.01537296e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.163317e-07,116.331658,2.283979e-01,1.49861020e-02,1.01498610e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.190955e-07,119.095477,2.262470e-01,1.45854460e-02,1.01458545e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.218593e-07,121.859296,2.237225e-01,1.41738778e-02,1.01417388e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.246231e-07,124.623116,2.208527e-01,1.37540311e-02,1.01375403e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.273869e-07,127.386935,2.176656e-01,1.33283027e-02,1.01332830e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.301508e-07,130.150754,2.141888e-01,1.28988645e-02,1.01289886e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.329146e-07,132.914573,2.104488e-01,1.24676770e-02,1.01246768e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.356784e-07,135.678392,2.064720e-01,1.20365025e-02,1.01203650e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.384422e-07,138.442211,2.022836e-01,1.16069186e-02,1.01160692e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.412060e-07,141.206030,1.979081e-01,1.11803314e-02,1.01118033e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.439698e-07,143.969849,1.933694e-01,1.07579881e-02,1.01075799e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.467337e-07,146.733668,1.886902e-01,1.03409894e-02,1.01034099e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.494975e-07,149.497487,1.838924e-01,9.93030111e-03,1.00993030e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.522613e-07,152.261307,1.789971e-01,9.52676478e-03,1.00952676e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.550251e-07,155.025126,1.740243e-01,9.13110822e-03,1.00913111e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.577889e-07,157.788945,1.689929e-01,8.74395493e-03,1.00874395e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.605528e-07,160.552764,1.639211e-01,8.36583301e-03,1.00836583e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.633166e-07,163.316583,1.588259e-01,7.99718337e-03,1.00799718e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.660804e-07,166.080402,1.537234e-01,7.63836741e-03,1.00763837e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.688442e-07,168.844221,1.486284e-01,7.28967401e-03,1.00728967e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.716080e-07,171.608040,1.435551e-01,6.95132609e-03,1.00695133e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.743719e-07,174.371859,1.385163e-01,6.62348660e-03,1.00662349e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.771357e-07,177.135678,1.335242e-01,6.30626410e-03,1.00630626e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.798995e-07,179.899497,1.285896e-01,5.99971786e-03,1.00599972e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.826633e-07,182.663317,1.237225e-01,5.70386263e-03,1.00570386e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.854271e-07,185.427136,1.189322e-01,5.41867305e-03,1.00541867e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.881910e-07,188.190955,1.142266e-01,5.14408766e-03,1.00514409e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.909548e-07,190.954774,1.096131e-01,4.88001271e-03,1.00488001e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.937186e-07,193.718593,1.050980e-01,4.62632566e-03,1.00462633e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.964824e-07,196.482412,1.006868e-01,4.38287838e-03,1.00438288e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.992462e-07,199.246231,9.638440e-02,4.14950022e-03,1.00414950e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.020101e-07,202.010050,9.219469e-02,3.92600074e-03,1.00392600e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.047739e-07,204.773869,8.812096e-02,3.71217236e-03,1.00371217e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.075377e-07,207.537688,8.416580e-02,3.50779276e-03,1.00350779e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.103015e-07,210.301508,8.033116e-02,3.31262707e-03,1.00331263e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.130653e-07,213.065327,7.661841e-02,3.12643001e-03,1.00312643e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.158291e-07,215.829146,7.302834e-02,2.94894775e-03,1.00294895e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.185930e-07,218.592965,6.956125e-02,2.77991971e-03,1.00277992e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.213568e-07,221.356784,6.621695e-02,2.61908020e-03,1.00261908e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.241206e-07,224.120603,6.299485e-02,2.46615988e-03,1.00246616e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.268844e-07,226.884422,5.989393e-02,2.32088717e-03,1.00232089e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.296482e-07,229.648241,5.691285e-02,2.18298951e-03,1.00218299e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.324121e-07,232.412060,5.404993e-02,2.05219448e-03,1.00205219e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.351759e-07,235.175879,5.130325e-02,1.92823085e-03,1.00192823e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
