key,value
xi_m,5.00000000e-08
d_hat,2.07594937e+00
d_m,1.03797468e-07
eta_star,2.12610211e-01
a_vac_star_m,1.57079633e-07
a_vac_star_hat,3.14159265e+00
a_hyp_m,3.14159265e-07
a_ratio_2pi_xi,5.00000000e-01
energy_min,4.11038929e-01
alpha_joint,2.80549543e-02
a_joint_m,2.56118090e-07
phi_joint,3.14159265e+00
a_joint_ratio_imposed,1.63049840e+00
joint_rms,3.95073794e-03
peak_delta,1.83135482e-02
