d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
5.000000e-08,50.000000,1.123109e-01,6.15620669e-02,1.06156207e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,7.74907224e-03
5.577889e-08,55.778894,1.351421e-01,7.16429279e-02,1.07164293e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.03121458e-02
6.155779e-08,61.557789,1.566135e-01,8.01473561e-02,1.08014736e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.30334431e-02
6.733668e-08,67.336683,1.759681e-01,8.67997747e-02,1.08679977e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.57850828e-02
7.311558e-08,73.115578,1.926959e-01,9.15128648e-02,1.09151286e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.84455933e-02
7.889447e-08,78.894472,2.065113e-01,9.43454335e-02,1.09434543e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.09088847e-02
8.467337e-08,84.673367,2.173123e-01,9.54555261e-02,1.09545553e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.30891010e-02
9.045226e-08,90.452261,2.251354e-01,9.50583108e-02,1.09505831e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.49222636e-02
9.623116e-08,96.231156,2.301147e-01,9.33930515e-02,1.09339305e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.63657762e-02
1.020101e-07,102.010050,2.324483e-01,9.06998506e-02,1.09069985e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.73966960e-02
1.077889e-07,107.788945,2.323730e-01,8.72049085e-02,1.08720491e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.80094015e-02
1.135678e-07,113.567839,2.301462e-01,8.31123407e-02,1.08311234e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.82130467e-02
1.193467e-07,119.346734,2.260325e-01,7.86006114e-02,1.07860061e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.80290055e-02
1.251256e-07,125.125628,2.202960e-01,7.38219627e-02,1.07382196e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.74884022e-02
1.309045e-07,130.904523,2.131937e-01,6.89036273e-02,1.06890363e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.66297692e-02
1.366834e-07,136.683417,2.049721e-01,6.39499821e-02,1.06394998e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.54968453e-02
1.424623e-07,142.462312,1.958639e-01,5.90450934e-02,1.05904509e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.41365289e-02
1.482412e-07,148.241206,1.860866e-01,5.42553219e-02,1.05425532e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.25970033e-02
1.540201e-07,154.020101,1.758403e-01,4.96318022e-02,1.04963180e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,2.09260546e-02
1.597990e-07,159.798995,1.653074e-01,4.52127064e-02,1.04521271e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.91696097e-02
1.655779e-07,165.577889,1.546510e-01,4.10252624e-02,1.04102526e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.73705154e-02
1.713568e-07,171.356784,1.440150e-01,3.70875284e-02,1.03708753e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.55675772e-02
1.771357e-07,177.135678,1.335242e-01,3.34099421e-02,1.03340994e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.37948653e-02
1.829146e-07,182.914573,1.232838e-01,2.99966695e-02,1.02999667e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.20812836e-02
1.886935e-07,188.693467,1.133807e-01,2.68467786e-02,1.02684678e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,1.04503888e-02
1.944724e-07,194.472362,1.038844e-01,2.39552591e-02,1.02395526e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,8.92043108e-03
2.002513e-07,200.251256,9.484764e-02,2.13139093e-02,1.02131391e+00,4.000000e-02,3.141593e-07,6.414237e-01,5.000000e-08,7.50458557e-03
