d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
5.000000e-08,50.000000,1.123109e-01,1.32602609e-02,1.01326026e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,1.20714592e-02
5.577889e-08,55.778894,1.351421e-01,1.54316442e-02,1.01543164e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,1.42883969e-02
6.155779e-08,61.557789,1.566135e-01,1.72634693e-02,1.01726347e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,1.62670721e-02
6.733668e-08,67.336683,1.759681e-01,1.86963777e-02,1.01869638e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,1.79313504e-02
7.311558e-08,73.115578,1.926959e-01,1.97115614e-02,1.01971156e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,1.92370855e-02
7.889447e-08,78.894472,2.065113e-01,2.03216871e-02,1.02032169e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,2.01679431e-02
8.467337e-08,84.673367,2.173123e-01,2.05607973e-02,1.02056080e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,2.07294376e-02
9.045226e-08,90.452261,2.251354e-01,2.04752384e-02,1.02047524e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,2.09428041e-02
9.623116e-08,96.231156,2.301147e-01,2.01165472e-02,1.02011655e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,2.08396132e-02
1.020101e-07,102.010050,2.324483e-01,1.95364409e-02,1.01953644e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,2.04574742e-02
1.077889e-07,107.788945,2.323730e-01,1.87836422e-02,1.01878364e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,1.98368266e-02
1.135678e-07,113.567839,2.301462e-01,1.79021169e-02,1.01790212e+00,4.000000e-02,3.141593e-07,1.381605e-01,5.000000e-08,1.90186558e-02
