d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
5.000000e-08,50.000000,1.123109e-01,9.59174368e-03,1.00959174e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,8.40523285e-03
5.577889e-08,55.778894,1.351421e-01,1.11203590e-02,1.01112036e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,9.92095815e-03
6.155779e-08,61.557789,1.566135e-01,1.23939921e-02,1.01239399e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.12709803e-02
6.733668e-08,67.336683,1.759681e-01,1.33747023e-02,1.01337470e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.24067863e-02
7.311558e-08,73.115578,1.926959e-01,1.40543434e-02,1.01405434e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.33015656e-02
7.889447e-08,78.894472,2.065113e-01,1.44471959e-02,1.01444720e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.39469298e-02
8.467337e-08,84.673367,2.173123e-01,1.45820879e-02,1.01458209e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.43486025e-02
9.045226e-08,90.452261,2.251354e-01,1.44955124e-02,1.01449551e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.45221567e-02
9.623116e-08,96.231156,2.301147e-01,1.42263815e-02,1.01422638e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.44893712e-02
1.020101e-07,102.010050,2.324483e-01,1.38124657e-02,1.01381247e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.42754011e-02
1.077889e-07,107.788945,2.323730e-01,1.32882667e-02,1.01328827e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.39067244e-02
1.135678e-07,113.567839,2.301462e-01,1.26839692e-02,1.01268397e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.34097340e-02
1.193467e-07,119.346734,2.260325e-01,1.20251334e-02,1.01202513e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.28098142e-02
1.251256e-07,125.125628,2.202960e-01,1.13328484e-02,1.01133285e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.21307625e-02
1.309045e-07,130.904523,2.131937e-01,1.06241439e-02,1.01062414e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.13944451e-02
1.366834e-07,136.683417,2.049721e-01,9.91251553e-03,1.00991252e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.06206076e-02
1.424623e-07,142.462312,1.958639e-01,9.20847599e-03,1.00920848e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,9.82678683e-03
1.482412e-07,148.241206,1.860866e-01,8.52007674e-03,1.00852008e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,9.02829172e-03
1.540201e-07,154.020101,1.758403e-01,7.85337254e-03,1.00785337e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,8.23823198e-03
1.597990e-07,159.798995,1.653074e-01,7.21281767e-03,1.00721282e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,7.46758428e-03
1.655779e-07,165.577889,1.546510e-01,6.60159293e-03,1.00660159e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,6.72528884e-03
1.713568e-07,171.356784,1.440150e-01,6.02186866e-03,1.00602187e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,6.01837217e-03
1.771357e-07,177.135678,1.335242e-01,5.47501238e-03,1.00547501e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,5.35209189e-03
1.829146e-07,182.914573,1.232838e-01,4.96175050e-03,1.00496175e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,4.73009966e-03
1.886935e-07,188.693467,1.133807e-01,4.48229343e-03,1.00448229e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,4.15461721e-03
1.944724e-07,194.472362,1.038844e-01,4.03643288e-03,1.00403643e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,3.62662043e-03
2.002513e-07,200.251256,9.484764e-02,3.62361831e-03,1.00362362e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,3.14602576e-03
2.060302e-07,206.030151,8.630833e-02,3.24301865e-03,1.00324302e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,2.71187373e-03
2.118090e-07,211.809045,7.829085e-02,2.89357346e-03,1.00289357e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,2.32250456e-03
2.175879e-07,217.587940,7.080778e-02,2.57403704e-03,1.00257404e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.97572191e-03
2.233668e-07,223.366834,6.386153e-02,2.28301729e-03,1.00228302e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.66894146e-03
2.291457e-07,229.145729,5.744602e-02,2.01901100e-03,1.00201901e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.39932242e-03
2.349246e-07,234.924623,5.154820e-02,1.78043594e-03,1.00178044e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.16388077e-03
2.407035e-07,240.703518,4.614957e-02,1.56566030e-03,1.00156566e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,9.59584012e-04
2.464824e-07,246.482412,4.122749e-02,1.37302942e-03,1.00137303e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,7.83428290e-04
2.522613e-07,252.261307,3.675635e-02,1.20088971e-03,1.00120089e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,6.32498702e-04
2.580402e-07,258.040201,3.270859e-02,1.04760972e-03,1.00104761e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,5.04014681e-04
2.638191e-07,263.819095,2.905560e-02,9.11598211e-04,1.00091160e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,3.95362122e-04
2.695980e-07,269.597990,2.576843e-02,7.91319283e-04,1.00079132e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,3.04114218e-04
2.753769e-07,275.376884,2.281835e-02,6.85304490e-04,1.00068530e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,2.28042917e-04
2.811558e-07,281.155779,2.017733e-02,5.92162193e-04,1.00059216e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.65122792e-04
2.869347e-07,286.934673,1.781840e-02,5.10584258e-04,1.00051058e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.13528987e-04
2.927136e-07,292.713568,1.571588e-02,4.39350357e-04,1.00043935e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,7.16306854e-05
2.984925e-07,298.492462,1.384556e-02,3.77330136e-04,1.00037733e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,3.79813699e-05
3.042714e-07,304.271357,1.218479e-02,3.23483551e-04,1.00032348e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,1.13069134e-05
3.100503e-07,310.050251,1.071255e-02,2.76859647e-04,1.00027686e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-9.50763094e-06
3.158291e-07,315.829146,9.409465e-03,2.36594066e-04,1.00023659e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-2.54318615e-05
3.216080e-07,321.608040,8.257746e-03,2.01905565e-04,1.00020191e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-3.73039521e-05
3.273869e-07,327.386935,7.241157e-03,1.72091773e-04,1.00017209e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-4.58442735e-05
3.331658e-07,333.165829,6.344946e-03,1.46524426e-04,1.00014652e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.16684278e-05
3.389447e-07,338.944724,5.555758e-03,1.24644251e-04,1.00012464e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.52995062e-05
3.447236e-07,344.723618,4.861546e-03,1.05955682e-04,1.00010596e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.71794489e-05
3.505025e-07,350.502513,4.251478e-03,9.00215363e-05,1.00009002e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.76794476e-05
3.562814e-07,356.281407,3.715845e-03,7.64577587e-05,1.00007646e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.71093717e-05
3.620603e-07,362.060302,3.245963e-03,6.49283284e-05,1.00006493e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.57262333e-05
3.678392e-07,367.839196,2.834084e-03,5.51403894e-05,1.00005514e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.37417271e-05
3.736181e-07,373.618090,2.473314e-03,4.68396531e-05,1.00004684e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.13288991e-05
3.793970e-07,379.396985,2.157526e-03,3.98061053e-05,1.00003981e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-4.86280059e-05
3.851759e-07,385.175879,1.881287e-03,3.38500353e-05,1.00003385e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-4.57516310e-05
3.909548e-07,390.954774,1.639789e-03,2.88083955e-05,1.00002881e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-4.27891287e-05
3.967337e-07,396.733668,1.428779e-03,2.45414893e-05,1.00002454e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-3.98104623e-05
4.025126e-07,402.512563,1.244502e-03,2.09299806e-05,1.00002093e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-3.68695029e-05
4.082915e-07,408.291457,1.083651e-03,1.78722108e-05,1.00001787e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-3.40068507e-05
4.140704e-07,414.070352,9.433101e-04,1.52818076e-05,1.00001528e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-3.12522366e-05
4.198492e-07,419.849246,8.209163e-04,1.30855653e-05,1.00001309e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-2.86265556e-05
4.256281e-07,425.628141,7.142166e-04,1.12215775e-05,1.00001122e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-2.61435823e-05
4.314070e-07,431.407035,6.212330e-04,9.63759983e-06,1.00000964e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-2.38114090e-05
4.371859e-07,437.185930,5.402305e-04,8.28962149e-06,1.00000829e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-2.16336463e-05
4.429648e-07,442.964824,4.696883e-04,7.14062587e-06,1.00000714e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.96104194e-05
4.487437e-07,448.743719,4.082743e-04,6.15951916e-06,1.00000616e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.77391916e-05
4.545226e-07,454.522613,3.548225e-04,5.32020871e-06,1.00000532e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.60154384e-05
4.603015e-07,460.301508,3.083133e-04,4.60081352e-06,1.00000460e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.44331976e-05
4.660804e-07,466.080402,2.678550e-04,3.98299062e-06,1.00000398e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.29855137e-05
4.718593e-07,471.859296,2.326688e-04,3.45136256e-06,1.00000345e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.16647945e-05
4.776382e-07,477.638191,2.020744e-04,2.99303266e-06,1.00000299e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.04630932e-05
4.834171e-07,483.417085,1.754782e-04,2.59717611e-06,1.00000260e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-9.37233015e-06
4.891960e-07,489.195980,1.523622e-04,2.25469606e-06,1.00000225e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-8.38446377e-06
4.949749e-07,494.974874,1.322748e-04,1.95793550e-06,1.00000196e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-7.49161980e-06
5.007538e-07,500.753769,1.148222e-04,1.70043644e-06,1.00000170e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-6.68618693e-06
5.065327e-07,506.532663,9.966118e-05,1.47673928e-06,1.00000148e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.96088490e-06
5.123116e-07,512.311558,8.649299e-05,1.28221602e-06,1.00000128e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-5.30881045e-06
5.180905e-07,518.090452,7.505731e-05,1.11293196e-06,1.00000111e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-4.72346578e-06
5.238693e-07,523.869347,6.512754e-05,9.65531201e-07,1.00000097e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-4.19877304e-06
5.296482e-07,529.648241,5.650649e-05,8.37141947e-07,1.00000084e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-3.72907808e-06
5.354271e-07,535.427136,4.902258e-05,7.25298384e-07,1.00000073e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-3.30914591e-06
5.412060e-07,541.206030,4.252655e-05,6.27876122e-07,1.00000063e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-2.93415000e-06
5.469849e-07,546.984925,3.688861e-05,5.43038926e-07,1.00000054e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-2.59965702e-06
5.527638e-07,552.763819,3.199590e-05,4.69194700e-07,1.00000047e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-2.30160847e-06
5.585427e-07,558.542714,2.775032e-05,4.04959057e-07,1.00000040e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-2.03630020e-06
5.643216e-07,564.321608,2.406662e-05,3.49125114e-07,1.00000035e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.80036073e-06
5.701005e-07,570.100503,2.087069e-05,3.00638362e-07,1.00000030e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.59072904e-06
5.758794e-07,575.879397,1.809818e-05,2.58575689e-07,1.00000026e+00,1.800000e-01,3.141593e-07,1.019275e-01,5.000000e-08,-1.40463231e-06
