d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m
2.984925e-07,298.492462,1.384556e-02,-9.56190194e-04,9.99043810e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.042714e-07,304.271357,1.218479e-02,-6.08360757e-04,9.99391639e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.100503e-07,310.050251,1.071255e-02,-2.65722743e-04,9.99734277e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.158291e-07,315.829146,9.409465e-03,6.76723320e-05,1.00006767e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.216080e-07,321.608040,8.257746e-03,3.88021029e-04,1.00038802e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.273869e-07,327.386935,7.241157e-03,6.91802391e-04,1.00069180e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.331658e-07,333.165829,6.344946e-03,9.75808587e-04,1.00097581e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.389447e-07,338.944724,5.555758e-03,1.23717151e-03,1.00123717e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.447236e-07,344.723618,4.861546e-03,1.47338515e-03,1.00147339e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.505025e-07,350.502513,4.251478e-03,1.68232344e-03,1.00168232e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.562814e-07,356.281407,3.715845e-03,1.86225369e-03,1.00186225e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.620603e-07,362.060302,3.245963e-03,2.01184527e-03,1.00201185e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.678392e-07,367.839196,2.834084e-03,2.13017369e-03,1.00213017e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.736181e-07,373.618090,2.473314e-03,2.21672007e-03,1.00221672e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.793970e-07,379.396985,2.157526e-03,2.27136611e-03,1.00227137e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.851759e-07,385.175879,1.881287e-03,2.29438465e-03,1.00229438e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.909548e-07,390.954774,1.639789e-03,2.28642600e-03,1.00228643e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
3.967337e-07,396.733668,1.428779e-03,2.24850036e-03,1.00224850e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.025126e-07,402.512563,1.244502e-03,2.18195646e-03,1.00218196e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.082915e-07,408.291457,1.083651e-03,2.08845688e-03,1.00208846e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.140704e-07,414.070352,9.433101e-04,1.96995024e-03,1.00196995e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.198492e-07,419.849246,8.209163e-04,1.82864074e-03,1.00182864e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.256281e-07,425.628141,7.142166e-04,1.66695546e-03,1.00166696e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.314070e-07,431.407035,6.212330e-04,1.48750966e-03,1.00148751e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.371859e-07,437.185930,5.402305e-04,1.29307080e-03,1.00129307e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.429648e-07,442.964824,4.696883e-04,1.08652143e-03,1.00108652e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
4.487437e-07,448.743719,4.082743e-04,8.70821622e-04,1.00087082e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
