d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
2.695980e-07,269.597990,2.576843e-02,8.52973880e-04,1.00085297e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-4.94979492e-04
2.753769e-07,275.376884,2.281835e-02,7.39070020e-04,1.00073907e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-4.60235164e-04
2.811558e-07,281.155779,2.017733e-02,6.39353987e-04,1.00063935e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-4.22553163e-04
2.869347e-07,286.934673,1.781840e-02,5.52260160e-04,1.00055226e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-3.83432468e-04
2.927136e-07,292.713568,1.571588e-02,4.76358278e-04,1.00047636e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-3.44097919e-04
2.984925e-07,298.492462,1.384556e-02,4.10348738e-04,1.00041035e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-3.05523036e-04
3.042714e-07,304.271357,1.218479e-02,3.53056524e-04,1.00035306e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.68456002e-04
3.100503e-07,310.050251,1.071255e-02,3.03424189e-04,1.00030342e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.33447108e-04
3.158291e-07,315.829146,9.409465e-03,2.60504212e-04,1.00026050e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.00876313e-04
3.216080e-07,321.608040,8.257746e-03,2.23451020e-04,1.00022345e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.70979933e-04
3.273869e-07,327.386935,7.241157e-03,1.91512912e-04,1.00019151e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.43875709e-04
3.331658e-07,333.165829,6.344946e-03,1.64024045e-04,1.00016402e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.19585799e-04
3.389447e-07,338.944724,5.555758e-03,1.40396641e-04,1.00014040e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-9.80573967e-05
3.447236e-07,344.723618,4.861546e-03,1.20113511e-04,1.00012011e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-7.91808723e-05
3.505025e-07,350.502513,4.251478e-03,1.02720975e-04,1.00010272e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-6.28054142e-05
3.562814e-07,356.281407,3.715845e-03,8.78222167e-05,1.00008782e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-4.87522792e-05
3.620603e-07,362.060302,3.245963e-03,7.50711168e-05,1.00007507e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-3.68257930e-05
3.678392e-07,367.839196,2.834084e-03,6.41665669e-05,1.00006417e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.68222944e-05
3.736181e-07,373.618090,2.473314e-03,5.48472674e-05,1.00005485e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.85372383e-05
3.793970e-07,379.396985,2.157526e-03,4.68869982e-05,1.00004689e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.17706798e-05
3.851759e-07,385.175879,1.881287e-03,4.00903458e-05,1.00004009e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-6.33135898e-06
3.909548e-07,390.954774,1.639789e-03,3.42888619e-05,1.00003429e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.03960054e-06
3.967337e-07,396.733668,1.428779e-03,2.93376285e-05,1.00002934e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.27077660e-06
4.025126e-07,402.512563,1.244502e-03,2.51122007e-05,1.00002511e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.75135799e-06
4.082915e-07,408.291457,1.083651e-03,2.15058966e-05,1.00002151e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.53868026e-06
4.140704e-07,414.070352,9.433101e-04,1.84274058e-05,1.00001843e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,6.75428422e-06
4.198492e-07,419.849246,8.209163e-04,1.57986864e-05,1.00001580e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.50515204e-06
4.256281e-07,425.628141,7.142166e-04,1.35531233e-05,1.00001355e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.88442487e-06
4.314070e-07,431.407035,6.212330e-04,1.16339191e-05,1.00001163e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.97231405e-06
4.371859e-07,437.185930,5.402305e-04,9.99269571e-06,1.00000999e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.83713460e-06
4.429648e-07,442.964824,4.696883e-04,8.58827954e-06,1.00000859e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.53640354e-06
4.487437e-07,448.743719,4.082743e-04,7.38565223e-06,1.00000739e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,7.11795775e-06
4.545226e-07,454.522613,3.548225e-04,6.35504487e-06,1.00000636e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,6.62105640e-06
