d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
2.695980e-07,269.597990,2.576843e-02,3.88052293e-03,1.00388052e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-7.44566723e-04
2.753769e-07,275.376884,2.281835e-02,3.36309373e-03,1.00336309e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.58623065e-04
2.811558e-07,281.155779,2.017733e-02,2.91085535e-03,1.00291086e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,3.06191286e-04
2.869347e-07,286.934673,1.781840e-02,2.51636412e-03,1.00251636e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,6.57513324e-04
2.927136e-07,292.713568,1.571588e-02,2.17287618e-03,1.00217288e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,9.06051981e-04
2.984925e-07,298.492462,1.384556e-02,1.87431158e-03,1.00187431e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.06445379e-03
3.042714e-07,304.271357,1.218479e-02,1.61521340e-03,1.00161521e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.14632716e-03
3.100503e-07,310.050251,1.071255e-02,1.39070402e-03,1.00139070e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.16543857e-03
3.158291e-07,315.829146,9.409465e-03,1.19644012e-03,1.00119644e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.13508159e-03
3.216080e-07,321.608040,8.257746e-03,1.02856774e-03,1.00102857e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.06760982e-03
3.273869e-07,327.386935,7.241157e-03,8.83678200e-04,1.00088368e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,9.74118556e-04
3.331658e-07,333.165829,6.344946e-03,7.58765775e-04,1.00075877e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,8.64255863e-04
3.389447e-07,338.944724,5.555758e-03,6.51187531e-04,1.00065119e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,7.46141738e-04
