d_m,d_nm,k_per_nm,chi_bulk,F_over_F_Cas,delta_F_over_F_Cas,F_Cas_N,kappa,xi_m
1.603924e-07,160.392373,6.234710e-03,1.642163e-01,1.00249156e+00,2.49156465e-03,1.964493e-06,1.200000e-01,5.000000e-08
1.719253e-07,171.925343,5.816478e-03,1.429746e-01,1.00190553e+00,1.90553367e-03,1.488078e-06,1.200000e-01,5.000000e-08
1.842876e-07,184.287588,5.426301e-03,1.208975e-01,1.00140578e+00,1.40577612e-03,1.127200e-06,1.200000e-01,5.000000e-08
1.975387e-07,197.538737,5.062298e-03,9.902938e-02,1.00099812e+00,9.98121247e-04,8.538396e-07,1.200000e-01,5.000000e-08
2.117427e-07,211.742706,4.722713e-03,7.837987e-02,1.00068059e+00,6.80585430e-04,6.467725e-07,1.200000e-01,5.000000e-08
2.269680e-07,226.968007,4.405907e-03,5.980202e-02,1.00044480e+00,4.44800101e-04,4.899218e-07,1.200000e-01,5.000000e-08
2.432881e-07,243.288080,4.110353e-03,4.389078e-02,1.00027815e+00,2.78154308e-04,3.711095e-07,1.200000e-01,5.000000e-08
2.607816e-07,260.781643,3.834626e-03,3.092821e-02,1.00016619e+00,1.66190025e-04,2.811107e-07,1.200000e-01,5.000000e-08
2.795331e-07,279.533076,3.577394e-03,2.088930e-02,1.00009475e+00,9.47466143e-05,2.129377e-07,1.200000e-01,5.000000e-08
2.996328e-07,299.632825,3.337418e-03,1.350192e-02,1.00005148e+00,5.14810819e-05,1.612976e-07,1.200000e-01,5.000000e-08
3.211778e-07,321.177842,3.113540e-03,8.338637e-03,1.00002663e+00,2.66282268e-05,1.221808e-07,1.200000e-01,5.000000e-08
3.442720e-07,344.272047,2.904680e-03,4.912629e-03,1.00001309e+00,1.30945165e-05,9.255040e-08,1.200000e-01,5.000000e-08
3.690268e-07,369.026834,2.709830e-03,2.755980e-03,1.00000611e+00,6.11296836e-06,7.010574e-08,1.200000e-01,5.000000e-08
3.955616e-07,395.561608,2.528051e-03,1.469299e-03,1.00000270e+00,2.70450437e-06,5.310420e-08,1.200000e-01,5.000000e-08
4.240044e-07,424.004357,2.358466e-03,7.427315e-04,1.00000113e+00,1.13169796e-06,4.022574e-08,1.200000e-01,5.000000e-08
4.544923e-07,454.492275,2.200257e-03,3.550842e-04,1.00000045e+00,4.46869451e-07,3.047048e-08,1.200000e-01,5.000000e-08
4.871724e-07,487.172418,2.052661e-03,1.600902e-04,1.00000017e+00,1.66071480e-07,2.308100e-08,1.200000e-01,5.000000e-08
5.222024e-07,522.202418,1.914966e-03,6.784931e-05,1.00000006e+00,5.79134862e-08,1.748356e-08,1.200000e-01,5.000000e-08
5.597512e-07,559.751240,1.786508e-03,2.693612e-05,1.00000002e+00,1.88877827e-08,1.324357e-08,1.200000e-01,5.000000e-08
6.000000e-07,600.000000,1.666667e-03,9.977768e-06,1.00000001e+00,5.73952352e-09,1.003183e-08,1.200000e-01,5.000000e-08
