d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
5.000000e-08,50.000000,1.123109e-01,1.57836274e-02,1.01578363e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.32800377e-02
5.577889e-08,55.778894,1.351421e-01,1.83682150e-02,1.01836821e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.58711671e-02
6.155779e-08,61.557789,1.566135e-01,2.05486279e-02,1.02054863e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.82437272e-02
6.733668e-08,67.336683,1.759681e-01,2.22542122e-02,1.02225421e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.03048645e-02
7.311558e-08,73.115578,1.926959e-01,2.34625807e-02,1.02346258e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.19950595e-02
7.889447e-08,78.894472,2.065113e-01,2.41888105e-02,1.02418881e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.32849141e-02
8.467337e-08,84.673367,2.173123e-01,2.44734223e-02,1.02447342e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.41696113e-02
9.045226e-08,90.452261,2.251354e-01,2.43715820e-02,1.02437158e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.46628234e-02
9.623116e-08,96.231156,2.301147e-01,2.39446335e-02,1.02394463e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.47911323e-02
1.020101e-07,102.010050,2.324483e-01,2.32541356e-02,1.02325414e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.45894273e-02
1.077889e-07,107.788945,2.323730e-01,2.23580827e-02,1.02235808e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.40973570e-02
1.135678e-07,113.567839,2.301462e-01,2.13088073e-02,1.02130881e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.33567153e-02
1.193467e-07,119.346734,2.260325e-01,2.01520649e-02,1.02015206e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.24095679e-02
1.251256e-07,125.125628,2.202960e-01,1.89268881e-02,1.01892689e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.12969309e-02
1.309045e-07,130.904523,2.131937e-01,1.76658978e-02,1.01766590e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.00578434e-02
1.366834e-07,136.683417,2.049721e-01,1.63958545e-02,1.01639585e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.87287182e-02
1.424623e-07,142.462312,1.958639e-01,1.51383116e-02,1.01513831e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.73428896e-02
1.482412e-07,148.241206,1.860866e-01,1.39102832e-02,1.01391028e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.59303088e-02
1.540201e-07,154.020101,1.758403e-01,1.27248794e-02,1.01272488e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.45173569e-02
1.597990e-07,159.798995,1.653074e-01,1.15918868e-02,1.01159189e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.31267567e-02
1.655779e-07,165.577889,1.546510e-01,1.05182865e-02,1.01051829e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.17775753e-02
1.713568e-07,171.356784,1.440150e-01,9.50870820e-03,1.00950871e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.04853071e-02
1.771357e-07,177.135678,1.335242e-01,8.56582803e-03,1.00856583e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,9.26203122e-03
1.829146e-07,182.914573,1.232838e-01,7.69071410e-03,1.00769071e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,8.11663185e-03
1.886935e-07,188.693467,1.133807e-01,6.88312741e-03,1.00688313e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,7.05507195e-03
1.944724e-07,194.472362,1.038844e-01,6.14178346e-03,1.00614178e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,6.08070547e-03
2.002513e-07,200.251256,9.484764e-02,5.46457942e-03,1.00546458e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,5.19461484e-03
2.060302e-07,206.030151,8.630833e-02,4.84879088e-03,1.00484879e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,4.39595946e-03
2.118090e-07,211.809045,7.829085e-02,4.29124131e-03,1.00429124e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,3.68232213e-03
2.175879e-07,217.587940,7.080778e-02,3.78844674e-03,1.00378845e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,3.05004192e-03
2.233668e-07,223.366834,6.386153e-02,3.33673811e-03,1.00333674e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.49452437e-03
2.291457e-07,229.145729,5.744602e-02,2.93236305e-03,1.00293236e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,2.01052213e-03
2.349246e-07,234.924623,5.154820e-02,2.57156931e-03,1.00257157e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.59238160e-03
2.407035e-07,240.703518,4.614957e-02,2.25067148e-03,1.00225067e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,1.23425368e-03
2.464824e-07,246.482412,4.122749e-02,1.96610290e-03,1.00196610e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,9.30268304e-04
2.522613e-07,252.261307,3.675635e-02,1.71445465e-03,1.00171445e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,6.74674183e-04
2.580402e-07,258.040201,3.270859e-02,1.49250336e-03,1.00149250e+00,4.000000e-02,3.141593e-07,1.644518e-01,5.000000e-08,4.61946454e-04
