d_m,d_nm,d_hat,xi_m,z_hat,z_m,rho_norm,depletion
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,3.00075019e-03,1.50037509e-10,3.00074118e-03,9.96999259e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,6.00150038e-03,3.00075019e-10,6.00142832e-03,9.93998572e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,9.00225056e-03,4.50112528e-10,9.00200739e-03,9.90997993e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.20030008e-02,6.00150038e-10,1.20024244e-02,9.87997576e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.50037509e-02,7.50187547e-10,1.50026252e-02,9.84997375e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.80045011e-02,9.00225056e-10,1.80025559e-02,9.81997444e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.10052513e-02,1.05026257e-09,2.10021625e-02,9.78997837e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.40060015e-02,1.20030008e-09,2.40013911e-02,9.75998609e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.70067517e-02,1.35033758e-09,2.70001877e-02,9.72999812e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,3.00075019e-02,1.50037509e-09,2.99984984e-02,9.70001502e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,3.30082521e-02,1.65041260e-09,3.29962693e-02,9.67003731e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,3.60090023e-02,1.80045011e-09,3.59934466e-02,9.64006553e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,3.90097524e-02,1.95048762e-09,3.89899766e-02,9.61010023e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,4.20105026e-02,2.10052513e-09,4.19858055e-02,9.58014194e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,4.50112528e-02,2.25056264e-09,4.49808796e-02,9.55019120e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,4.80120030e-02,2.40060015e-09,4.79751453e-02,9.52024855e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,5.10127532e-02,2.55063766e-09,5.09685490e-02,9.49031451e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,5.40135034e-02,2.70067517e-09,5.39610372e-02,9.46038963e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,5.70142536e-02,2.85071268e-09,5.69525565e-02,9.43047444e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,6.00150038e-02,3.00075019e-09,5.99430534e-02,9.40056947e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,6.30157539e-02,3.15078770e-09,6.29324747e-02,9.37067525e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,6.60165041e-02,3.30082521e-09,6.59207671e-02,9.34079233e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,6.90172543e-02,3.45086272e-09,6.89078775e-02,9.31092122e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,7.20180045e-02,3.60090023e-09,7.18937529e-02,9.28106247e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,7.50187547e-02,3.75093773e-09,7.48783402e-02,9.25121660e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,7.80195049e-02,3.90097524e-09,7.78615867e-02,9.22138413e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,8.10202551e-02,4.05101275e-09,8.08434394e-02,9.19156561e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,8.40210053e-02,4.20105026e-09,8.38238457e-02,9.16176154e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,8.70217554e-02,4.35108777e-09,8.68027531e-02,9.13197247e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,9.00225056e-02,4.50112528e-09,8.97801090e-02,9.10219891e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,9.30232558e-02,4.65116279e-09,9.27558611e-02,9.07244139e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,9.60240060e-02,4.80120030e-09,9.57299572e-02,9.04270043e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,9.90247562e-02,4.95123781e-09,9.87023450e-02,9.01297655e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.02025506e-01,5.10127532e-09,1.01672973e-01,8.98327027e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.05026257e-01,5.25131283e-09,1.04641788e-01,8.95358212e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.08027007e-01,5.40135034e-09,1.07608740e-01,8.92391260e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.11027757e-01,5.55138785e-09,1.10573776e-01,8.89426224e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.14028507e-01,5.70142536e-09,1.13536846e-01,8.86463154e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.17029257e-01,5.85146287e-09,1.16497896e-01,8.83502104e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.20030008e-01,6.00150038e-09,1.19456878e-01,8.80543122e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.23030758e-01,6.15153788e-09,1.22413739e-01,8.77586261e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.26031508e-01,6.30157539e-09,1.25368428e-01,8.74631572e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.29032258e-01,6.45161290e-09,1.28320895e-01,8.71679105e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.32033008e-01,6.60165041e-09,1.31271089e-01,8.68728911e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.35033758e-01,6.75168792e-09,1.34218960e-01,8.65781040e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.38034509e-01,6.90172543e-09,1.37164458e-01,8.62835542e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.41035259e-01,7.05176294e-09,1.40107531e-01,8.59892469e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.44036009e-01,7.20180045e-09,1.43048131e-01,8.56951869e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.47036759e-01,7.35183796e-09,1.45986208e-01,8.54013792e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.50037509e-01,7.50187547e-09,1.48921711e-01,8.51078289e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.53038260e-01,7.65191298e-09,1.51854592e-01,8.48145408e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.56039010e-01,7.80195049e-09,1.54784802e-01,8.45215198e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.59039760e-01,7.95198800e-09,1.57712291e-01,8.42287709e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.62040510e-01,8.10202551e-09,1.60637010e-01,8.39362990e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.65041260e-01,8.25206302e-09,1.63558910e-01,8.36441090e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.68042011e-01,8.40210053e-09,1.66477945e-01,8.33522055e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.71042761e-01,8.55213803e-09,1.69394064e-01,8.30605936e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.74043511e-01,8.70217554e-09,1.72307220e-01,8.27692780e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.77044261e-01,8.85221305e-09,1.75217365e-01,8.24782635e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.80045011e-01,9.00225056e-09,1.78124452e-01,8.21875548e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.83045761e-01,9.15228807e-09,1.81028432e-01,8.18971568e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.86046512e-01,9.30232558e-09,1.83929259e-01,8.16070741e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.89047262e-01,9.45236309e-09,1.86826886e-01,8.13173114e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.92048012e-01,9.60240060e-09,1.89721266e-01,8.10278734e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.95048762e-01,9.75243811e-09,1.92612352e-01,8.07387648e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,1.98049512e-01,9.90247562e-09,1.95500098e-01,8.04499902e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.01050263e-01,1.00525131e-08,1.98384458e-01,8.01615542e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.04051013e-01,1.02025506e-08,2.01265386e-01,7.98734614e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.07051763e-01,1.03525881e-08,2.04142836e-01,7.95857164e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.10052513e-01,1.05026257e-08,2.07016763e-01,7.92983237e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.13053263e-01,1.06526632e-08,2.09887121e-01,7.90112879e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.16054014e-01,1.08027007e-08,2.12753867e-01,7.87246133e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.19054764e-01,1.09527382e-08,2.15616954e-01,7.84383046e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.22055514e-01,1.11027757e-08,2.18476338e-01,7.81523662e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.25056264e-01,1.12528132e-08,2.21331976e-01,7.78668024e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.28057014e-01,1.14028507e-08,2.24183824e-01,7.75816176e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.31057764e-01,1.15528882e-08,2.27031836e-01,7.72968164e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.34058515e-01,1.17029257e-08,2.29875971e-01,7.70124029e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.37059265e-01,1.18529632e-08,2.32716185e-01,7.67283815e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.40060015e-01,1.20030008e-08,2.35552435e-01,7.64447565e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.43060765e-01,1.21530383e-08,2.38384679e-01,7.61615321e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.46061515e-01,1.23030758e-08,2.41212873e-01,7.58787127e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.49062266e-01,1.24531133e-08,2.44036976e-01,7.55963024e-01
6.000000e-07,600.000000,1.200000e+01,5.000000e-08,2.52063016e-01,1.26031508e-08,2.46856946e-01,7.53143054e-01
