d_m,d_nm,d_hat,xi_m,z_hat,z_m,rho_norm,depletion
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,2.00050013e-04,1.00025006e-11,1.32818186e-04,9.99867182e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,4.00100025e-04,2.00050013e-11,2.65591597e-04,9.99734408e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,6.00150038e-04,3.00075019e-11,3.98320204e-04,9.99601680e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,8.00200050e-04,4.00100025e-11,5.31003979e-04,9.99468996e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.00025006e-03,5.00125031e-11,6.63642893e-04,9.99336357e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.20030008e-03,6.00150038e-11,7.96236919e-04,9.99203763e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.40035009e-03,7.00175044e-11,9.28786026e-04,9.99071214e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.60040010e-03,8.00200050e-11,1.06129019e-03,9.98938710e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.80045011e-03,9.00225056e-11,1.19374938e-03,9.98806251e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,2.00050013e-03,1.00025006e-10,1.32616356e-03,9.98673836e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,2.20055014e-03,1.10027507e-10,1.45853271e-03,9.98541467e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,2.40060015e-03,1.20030008e-10,1.59085681e-03,9.98409143e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,2.60065016e-03,1.30032508e-10,1.72313581e-03,9.98276864e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,2.80070018e-03,1.40035009e-10,1.85536970e-03,9.98144630e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,3.00075019e-03,1.50037509e-10,1.98755845e-03,9.98012442e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,3.20080020e-03,1.60040010e-10,2.11970202e-03,9.97880298e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,3.40085021e-03,1.70042511e-10,2.25180039e-03,9.97748200e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,3.60090023e-03,1.80045011e-10,2.38385353e-03,9.97616146e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,3.80095024e-03,1.90047512e-10,2.51586141e-03,9.97484139e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,4.00100025e-03,2.00050013e-10,2.64782401e-03,9.97352176e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,4.20105026e-03,2.10052513e-10,2.77974129e-03,9.97220259e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,4.40110028e-03,2.20055014e-10,2.91161322e-03,9.97088387e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,4.60115029e-03,2.30057514e-10,3.04343979e-03,9.96956560e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,4.80120030e-03,2.40060015e-10,3.17522095e-03,9.96824779e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,5.00125031e-03,2.50062516e-10,3.30695669e-03,9.96693043e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,5.20130033e-03,2.60065016e-10,3.43864697e-03,9.96561353e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,5.40135034e-03,2.70067517e-10,3.57029176e-03,9.96429708e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,5.60140035e-03,2.80070018e-10,3.70189104e-03,9.96298109e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,5.80145036e-03,2.90072518e-10,3.83344478e-03,9.96166555e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,6.00150038e-03,3.00075019e-10,3.96495295e-03,9.96035047e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,6.20155039e-03,3.10077519e-10,4.09641552e-03,9.95903584e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,6.40160040e-03,3.20080020e-10,4.22783246e-03,9.95772168e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,6.60165041e-03,3.30082521e-10,4.35920375e-03,9.95640796e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,6.80170043e-03,3.40085021e-10,4.49052935e-03,9.95509471e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,7.00175044e-03,3.50087522e-10,4.62180924e-03,9.95378191e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,7.20180045e-03,3.60090023e-10,4.75304340e-03,9.95246957e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,7.40185046e-03,3.70092523e-10,4.88423178e-03,9.95115768e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,7.60190048e-03,3.80095024e-10,5.01537437e-03,9.94984626e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,7.80195049e-03,3.90097524e-10,5.14647113e-03,9.94853529e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,8.00200050e-03,4.00100025e-10,5.27752204e-03,9.94722478e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,8.20205051e-03,4.10102526e-10,5.40852707e-03,9.94591473e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,8.40210053e-03,4.20105026e-10,5.53948619e-03,9.94460514e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,8.60215054e-03,4.30107527e-10,5.67039937e-03,9.94329601e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,8.80220055e-03,4.40110028e-10,5.80126658e-03,9.94198733e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,9.00225056e-03,4.50112528e-10,5.93208780e-03,9.94067912e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,9.20230058e-03,4.60115029e-10,6.06286300e-03,9.93937137e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,9.40235059e-03,4.70117529e-10,6.19359215e-03,9.93806408e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,9.60240060e-03,4.80120030e-10,6.32427521e-03,9.93675725e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,9.80245061e-03,4.90122531e-10,6.45491217e-03,9.93545088e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.00025006e-02,5.00125031e-10,6.58550300e-03,9.93414497e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.02025506e-02,5.10127532e-10,6.71604766e-03,9.93283952e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.04026007e-02,5.20130033e-10,6.84654613e-03,9.93153454e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.06026507e-02,5.30132533e-10,6.97699838e-03,9.93023002e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.08027007e-02,5.40135034e-10,7.10740438e-03,9.92892596e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.10027507e-02,5.50137534e-10,7.23776410e-03,9.92762236e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.12028007e-02,5.60140035e-10,7.36807752e-03,9.92631922e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.14028507e-02,5.70142536e-10,7.49834461e-03,9.92501655e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.16029007e-02,5.80145036e-10,7.62856533e-03,9.92371435e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.18029507e-02,5.90147537e-10,7.75873967e-03,9.92241260e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.20030008e-02,6.00150038e-10,7.88886759e-03,9.92111132e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.22030508e-02,6.10152538e-10,8.01894906e-03,9.91981051e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.24031008e-02,6.20155039e-10,8.14898406e-03,9.91851016e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.26031508e-02,6.30157539e-10,8.27897256e-03,9.91721027e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.28032008e-02,6.40160040e-10,8.40891453e-03,9.91591085e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.30032508e-02,6.50162541e-10,8.53880994e-03,9.91461190e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.32033008e-02,6.60165041e-10,8.66865876e-03,9.91331341e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.34033508e-02,6.70167542e-10,8.79846097e-03,9.91201539e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.36034009e-02,6.80170043e-10,8.92821654e-03,9.91071783e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.38034509e-02,6.90172543e-10,9.05792543e-03,9.90942075e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.40035009e-02,7.00175044e-10,9.18758763e-03,9.90812412e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.42035509e-02,7.10177544e-10,9.31720310e-03,9.90682797e-01
4.000000e-08,40.000000,8.000000e-01,5.000000e-08,1.44036009e-02,7.20180045e-10,9.44677181e-03,9.90553228e-01
